pair_id,left_id,right_id,left,right,themes,status,relevance,comparison_type,priority,needs_detailed,visual_redgreen
ПАРА-001,D01,D02,Памятка Нейрон,Пример выгрузки Нейрон,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-002,D01,D03,Памятка Нейрон,ВЦИОМ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-003,D01,D04,Памятка Нейрон,Концепция 2026-2030,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-004,D01,D05,Памятка Нейрон,Концепция 2019-2025,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-005,D01,D06,Памятка Нейрон,109-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-006,D01,D07,Памятка Нейрон,План 30-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-007,D01,D08,Памятка Нейрон,План 4171-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-008,D01,D09,Памятка Нейрон,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-009,D01,D10,Памятка Нейрон,Минэк страница,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-010,D01,D11,Памятка Нейрон,115-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-011,D01,D12,Памятка Нейрон,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-012,D01,D13,Памятка Нейрон,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-013,D01,D14,Памятка Нейрон,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-014,D01,D15,Памятка Нейрон,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-015,D01,D16,Памятка Нейрон,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-016,D01,D17,Памятка Нейрон,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-017,D01,D18,Памятка Нейрон,Брошюра Минэка ВНЖ,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-018,D01,D19,Памятка Нейрон,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-019,D01,D20,Памятка Нейрон,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-020,D01,D21,Памятка Нейрон,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-021,D01,D22,Памятка Нейрон,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-022,D01,D23,Памятка Нейрон,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-023,D01,D24,Памятка Нейрон,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-024,D01,D25,Памятка Нейрон,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-025,D01,D26,Памятка Нейрон,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-026,D02,D03,Пример выгрузки Нейрон,ВЦИОМ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-027,D02,D04,Пример выгрузки Нейрон,Концепция 2026-2030,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-028,D02,D05,Пример выгрузки Нейрон,Концепция 2019-2025,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-029,D02,D06,Пример выгрузки Нейрон,109-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-030,D02,D07,Пример выгрузки Нейрон,План 30-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-031,D02,D08,Пример выгрузки Нейрон,План 4171-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-032,D02,D09,Пример выгрузки Нейрон,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-033,D02,D10,Пример выгрузки Нейрон,Минэк страница,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-034,D02,D11,Пример выгрузки Нейрон,115-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-035,D02,D12,Пример выгрузки Нейрон,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-036,D02,D13,Пример выгрузки Нейрон,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-037,D02,D14,Пример выгрузки Нейрон,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-038,D02,D15,Пример выгрузки Нейрон,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-039,D02,D16,Пример выгрузки Нейрон,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-040,D02,D17,Пример выгрузки Нейрон,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-041,D02,D18,Пример выгрузки Нейрон,Брошюра Минэка ВНЖ,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-042,D02,D19,Пример выгрузки Нейрон,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-043,D02,D20,Пример выгрузки Нейрон,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-044,D02,D21,Пример выгрузки Нейрон,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-045,D02,D22,Пример выгрузки Нейрон,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-046,D02,D23,Пример выгрузки Нейрон,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-047,D02,D24,Пример выгрузки Нейрон,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-048,D02,D25,Пример выгрузки Нейрон,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-049,D02,D26,Пример выгрузки Нейрон,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-050,D03,D04,ВЦИОМ,Концепция 2026-2030,"T11, T12, T13",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-051,D03,D05,ВЦИОМ,Концепция 2019-2025,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-052,D03,D06,ВЦИОМ,109-ФЗ,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-053,D03,D07,ВЦИОМ,План 30-р,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-054,D03,D08,ВЦИОМ,План 4171-р,"T11, T12, T13",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-055,D03,D09,ВЦИОМ,Клерк,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-056,D03,D10,ВЦИОМ,Минэк страница,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-057,D03,D11,ВЦИОМ,115-ФЗ,"T08, T12",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-058,D03,D12,ВЦИОМ,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-059,D03,D13,ВЦИОМ,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-060,D03,D14,ВЦИОМ,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-061,D03,D15,ВЦИОМ,260-ФЗ,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-062,D03,D16,ВЦИОМ,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-063,D03,D17,ВЦИОМ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-064,D03,D18,ВЦИОМ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-065,D03,D19,ВЦИОМ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-066,D03,D20,ВЦИОМ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-067,D03,D21,ВЦИОМ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-068,D03,D22,ВЦИОМ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-069,D03,D23,ВЦИОМ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-070,D03,D24,ВЦИОМ,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-071,D03,D25,ВЦИОМ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-072,D03,D26,ВЦИОМ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-073,D04,D05,Концепция 2026-2030,Концепция 2019-2025,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-074,D04,D06,Концепция 2026-2030,109-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-075,D04,D07,Концепция 2026-2030,План 30-р,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-076,D04,D08,Концепция 2026-2030,План 4171-р,"T11, T12, T13",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,да
ПАРА-077,D04,D09,Концепция 2026-2030,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-078,D04,D10,Концепция 2026-2030,Минэк страница,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-079,D04,D11,Концепция 2026-2030,115-ФЗ,T12,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-080,D04,D12,Концепция 2026-2030,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-081,D04,D13,Концепция 2026-2030,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-082,D04,D14,Концепция 2026-2030,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-083,D04,D15,Концепция 2026-2030,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-084,D04,D16,Концепция 2026-2030,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-085,D04,D17,Концепция 2026-2030,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-086,D04,D18,Концепция 2026-2030,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-087,D04,D19,Концепция 2026-2030,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-088,D04,D20,Концепция 2026-2030,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-089,D04,D21,Концепция 2026-2030,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-090,D04,D22,Концепция 2026-2030,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-091,D04,D23,Концепция 2026-2030,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-092,D04,D24,Концепция 2026-2030,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-093,D04,D25,Концепция 2026-2030,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-094,D04,D26,Концепция 2026-2030,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-095,D05,D06,Концепция 2019-2025,109-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-096,D05,D07,Концепция 2019-2025,План 30-р,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-097,D05,D08,Концепция 2019-2025,План 4171-р,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-098,D05,D09,Концепция 2019-2025,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-099,D05,D10,Концепция 2019-2025,Минэк страница,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-100,D05,D11,Концепция 2019-2025,115-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-101,D05,D12,Концепция 2019-2025,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-102,D05,D13,Концепция 2019-2025,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-103,D05,D14,Концепция 2019-2025,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-104,D05,D15,Концепция 2019-2025,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-105,D05,D16,Концепция 2019-2025,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-106,D05,D17,Концепция 2019-2025,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-107,D05,D18,Концепция 2019-2025,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-108,D05,D19,Концепция 2019-2025,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-109,D05,D20,Концепция 2019-2025,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-110,D05,D21,Концепция 2019-2025,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-111,D05,D22,Концепция 2019-2025,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-112,D05,D23,Концепция 2019-2025,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-113,D05,D24,Концепция 2019-2025,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-114,D05,D25,Концепция 2019-2025,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-115,D05,D26,Концепция 2019-2025,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-116,D06,D07,109-ФЗ,План 30-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-117,D06,D08,109-ФЗ,План 4171-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-118,D06,D09,109-ФЗ,Клерк,"T03, T08",partial_overlap,высокая,интегральное тематическое сопоставление,A,да,нет
ПАРА-119,D06,D10,109-ФЗ,Минэк страница,T03,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-120,D06,D11,109-ФЗ,115-ФЗ,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-121,D06,D12,109-ФЗ,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-122,D06,D13,109-ФЗ,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-123,D06,D14,109-ФЗ,121-ФЗ,T03,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-124,D06,D15,109-ФЗ,260-ФЗ,T08,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-125,D06,D16,109-ФЗ,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-126,D06,D17,109-ФЗ,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-127,D06,D18,109-ФЗ,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-128,D06,D19,109-ФЗ,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-129,D06,D20,109-ФЗ,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-130,D06,D21,109-ФЗ,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-131,D06,D22,109-ФЗ,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-132,D06,D23,109-ФЗ,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-133,D06,D24,109-ФЗ,270-ФЗ,T03,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-134,D06,D25,109-ФЗ,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-135,D06,D26,109-ФЗ,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-136,D07,D08,План 30-р,План 4171-р,T11,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-137,D07,D09,План 30-р,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-138,D07,D10,План 30-р,Минэк страница,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-139,D07,D11,План 30-р,115-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-140,D07,D12,План 30-р,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-141,D07,D13,План 30-р,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-142,D07,D14,План 30-р,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-143,D07,D15,План 30-р,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-144,D07,D16,План 30-р,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-145,D07,D17,План 30-р,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-146,D07,D18,План 30-р,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-147,D07,D19,План 30-р,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-148,D07,D20,План 30-р,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-149,D07,D21,План 30-р,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-150,D07,D22,План 30-р,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-151,D07,D23,План 30-р,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-152,D07,D24,План 30-р,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-153,D07,D25,План 30-р,281-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-154,D07,D26,План 30-р,Договор ЕАЭС ст. 96-98,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-155,D08,D09,План 4171-р,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-156,D08,D10,План 4171-р,Минэк страница,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-157,D08,D11,План 4171-р,115-ФЗ,T12,partial_overlap,средняя,тематическое сопоставление,B,нет,нет
ПАРА-158,D08,D12,План 4171-р,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-159,D08,D13,План 4171-р,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-160,D08,D14,План 4171-р,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-161,D08,D15,План 4171-р,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-162,D08,D16,План 4171-р,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-163,D08,D17,План 4171-р,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-164,D08,D18,План 4171-р,Брошюра Минэка ВНЖ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-165,D08,D19,План 4171-р,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-166,D08,D20,План 4171-р,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-167,D08,D21,План 4171-р,ПП №1510,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-168,D08,D22,План 4171-р,ПП №1562,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-169,D08,D23,План 4171-р,ПП №468,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-170,D08,D24,План 4171-р,270-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
