thesis_id,theme,source_doc,thesis,primary_npa,coordinate,status,confidence,manual_review,comment
TH-001,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра Минэка по ВНЖ инвестора указывает критерии инвестора и ссылается на ПП №2573.,ПП №2573,D18 стр. 1 RU; D20 критерии инвестора,match,0.94,нет,"Оставить брошюру как информационный пересказ, первичным основанием считать ПП №2573."
TH-002,Инвестиционный ВНЖ,ПП №2573,ПП №1375 найден как поправка к ПП №2573.,ПП №2573 / ПП №1375,D27 fallback manifest; D20 current mirror,outdated,0.78,да,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка."
TH-003,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,ПП №1375,D18 brochure; D27 amendment,manual_review,0.72,да,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.
TH-004,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП1562 вносит изменения в ПП1510.,ПП №1510 / ПП №1562,D21 + D22 snapshots,match,0.91,нет,Использовать ПП1510+1562 как текущую редакционную карту до вступления ПП468.
TH-005,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП468 изменяет ПП1510 с будущей датой вступления.,ПП №1510 / ПП №468,D21 + D23 snapshots,partial_overlap,0.87,да,В матрице разделить текущую и перспективную редакции.
TH-006,ruID / целевой цифровой въезд / биометрия,Указ №467,Указ №467 задает цифровой профиль как президентский контур.,Указ №467 / ПП №1510,D17; D21,match,0.89,нет,Развести указ как стратегическое основание и ПП1510 как экспериментальный механизм.
TH-007,Миграционный учет и уведомления,109-ФЗ,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,109-ФЗ / 270-ФЗ,D06; D24,outdated,0.83,да,Обновить claims Клерка и Минэка по учету после 270-ФЗ.
TH-008,"Правовое положение, трудовая деятельность, патенты",115-ФЗ,"270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",115-ФЗ / 270-ФЗ,D11; D24,outdated,0.82,да,Использовать 115-ФЗ в редакции с 270-ФЗ.
TH-009,КоАП и ответственность,КоАП РФ,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.",КоАП РФ / 281-ФЗ,D13; D25,partial_overlap,0.76,да,Проверять claims по ответственности на уровне конкретных статей КоАП.
TH-010,ЕАЭС и «Работа в ЕАЭС»,Минэк страница,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.",Договор ЕАЭС ст. 96-98,D10 screenshot/MHT; D26 ст.96-98,contradiction,0.92,да,"Не писать, что Узбекистан и Таджикистан входят в ЕАЭС."
TH-011,ЕАЭС и «Работа в ЕАЭС»,Договор ЕАЭС ст. 96-98,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,Договор ЕАЭС ст. 96-98 / 115-ФЗ,D26 ст.97; D11 патентные нормы,partial_overlap,0.91,да,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.
TH-012,Узбекистан/Таджикистан: не-ЕАЭС режим,Минэк страница,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,115-ФЗ,D10; D11,manual_review,0.88,да,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям."
TH-013,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,Концепция 2026-2030,D03 slide 5; D04/D08,partial_overlap,0.84,да,Не маркировать ВЦИОМ как НПА; использовать как claim source.
TH-014,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,План 4171-р,D03 slide 5; D08 plan,match,0.81,да,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности."
TH-015,Образовательная / интеллектуальная миграция,ВЦИОМ,ВЦИОМ: стимулирование образовательной и интеллектуальной миграции.,Концепция 2026-2030,D03 slide 4; D04/D08,match,0.86,нет,Оставить как совместимый аналитический тезис.
TH-016,Режим высылки и реестр контролируемых лиц,Клерк,Клерк описывает режим высылки и реестр контролируемых лиц.,260-ФЗ,D09; D15,match,0.88,нет,"Подтверждать claims Клерка через 260-ФЗ, не через обзор."
TH-017,"Госпошлины, НДФЛ, патенты",Клерк,Клерк описывает НДФЛ/патенты/госпошлины.,НК РФ,D09; D12/D16,partial_overlap,0.8,да,Разложить каждый налоговый claim по статье НК РФ.
TH-018,КоАП и ответственность,Клерк,Клерк описывает ответственность работодателей.,КоАП РФ,D09; D13 ст.18.15,partial_overlap,0.82,да,Проверить точные суммы/составы по действующей редакции КоАП.
TH-019,Концепции и планы реализации,Концепция 2026-2030,Концепция 2026-2030 добавляет новый контрольный/цифровой контур и ожидаемые результаты.,Концепция 2026-2030 / Концепция 2019-2025,D04; D05,partial_overlap,0.9,нет,"Использовать как policy diff, не как поправки одного текста."
TH-020,Концепции и планы реализации,Концепция 2026-2030,План 4171-р операционализирует Концепцию 2026-2030.,Концепция 2026-2030 / План 4171-р,D04; D08,match,0.88,нет,"Coverage должен быть строковым: мероприятие, исполнитель, срок, результат."
TH-021,Концепции и планы реализации,План 30-р,План 30-р и План 4171-р относятся к разным циклам Концепции.,План 30-р / План 4171-р,D07; D08,partial_overlap,0.82,нет,Разнести по циклам 2019-2025 и 2026-2030.
TH-022,Forensic/provenance layer,Памятка Нейрон,Памятка Нейрон задает режим «Все пары» и Excel-анализ.,Пример выгрузки Нейрон,D01; D02,match,0.75,нет,Использовать как workflow benchmark.
TH-023,Forensic/provenance layer,Минэк страница,"Минэк official URL имел timeout, но локальный MHT/PDF snapshot сохранен.",Минэк страница,manifest status failed_curl_28; local snapshot,source_gap,0.73,да,Фиксировать official URL недоступность и local snapshot.
TH-024,Forensic/provenance layer,270-ФЗ,Official publication 270-ФЗ имел failed_curl_28; fallback Garant/Kontur доступны.,270-ФЗ / 270-ФЗ,"manifest entries 27-28, fallback 42",source_gap,0.77,да,В источниках указать provenance-risk.
TH-025,Forensic/provenance layer,ПП №2573,"ПП2573 official URL мог быть недоступен/stub, но mirror/fallback тексты найдены.",ПП №2573 / ПП №1375,manifest round2 entries 56-62,partial_overlap,0.75,да,Указать legal database mirror как источник консолидации.
TH-026,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2026-2030.,Концепция 2026-2030,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-027,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2019-2025.,Концепция 2019-2025,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-028,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 109-ФЗ.,109-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-029,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ План 30-р.,План 30-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-030,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ План 4171-р.,План 4171-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-031,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Клерк.,Клерк,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-032,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 115-ФЗ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-033,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 260-ФЗ.,260-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-034,Концепции и планы реализации,Концепция 2026-2030,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ Концепция 2019-2025.,Концепция 2026-2030 / Концепция 2019-2025,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-035,Концепции и планы реализации,Концепция 2026-2030,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 30-р.,Концепция 2026-2030 / План 30-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-036,Концепции и планы реализации,Концепция 2026-2030,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 4171-р.,Концепция 2026-2030 / План 4171-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-037,Образовательная / интеллектуальная миграция,Концепция 2026-2030,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ 115-ФЗ.,Концепция 2026-2030 / 115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-038,Концепции и планы реализации,Концепция 2019-2025,Системное перекрестное сопоставление: Концепция 2019-2025 ↔ План 30-р.,Концепция 2019-2025 / План 30-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-039,Концепции и планы реализации,Концепция 2019-2025,Системное перекрестное сопоставление: Концепция 2019-2025 ↔ План 4171-р.,Концепция 2019-2025 / План 4171-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-040,Миграционный учет и уведомления,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ Клерк.,109-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-041,Миграционный учет и уведомления,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ Минэк страница.,109-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-042,Режим высылки и реестр контролируемых лиц,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 115-ФЗ.,109-ФЗ / 115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-043,Миграционный учет и уведомления,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 121-ФЗ.,109-ФЗ / 121-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-044,Режим высылки и реестр контролируемых лиц,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 260-ФЗ.,109-ФЗ / 260-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-045,Миграционный учет и уведомления,109-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 270-ФЗ.,109-ФЗ / 270-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-046,Концепции и планы реализации,План 30-р,Системное перекрестное сопоставление: План 30-р ↔ План 4171-р.,План 30-р / План 4171-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-047,Образовательная / интеллектуальная миграция,План 4171-р,Системное перекрестное сопоставление: План 4171-р ↔ 115-ФЗ.,План 4171-р / 115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-048,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ Минэк страница.,Минэк страница,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-049,"Правовое положение, трудовая деятельность, патенты",Клерк,Системное перекрестное сопоставление: Клерк ↔ 115-ФЗ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-050,"Правовое положение, трудовая деятельность, патенты",Клерк,Системное перекрестное сопоставление: Клерк ↔ НК РФ.,НК РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-051,"Правовое положение, трудовая деятельность, патенты",Клерк,Системное перекрестное сопоставление: Клерк ↔ КоАП РФ.,КоАП РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-052,Миграционный учет и уведомления,Клерк,Системное перекрестное сопоставление: Клерк ↔ 121-ФЗ.,121-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-053,Режим высылки и реестр контролируемых лиц,Клерк,Системное перекрестное сопоставление: Клерк ↔ 260-ФЗ.,260-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-054,"Госпошлины, НДФЛ, патенты",Клерк,Системное перекрестное сопоставление: Клерк ↔ 271-ФЗ.,271-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-055,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ Указ №467.,Указ №467,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-056,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ 114-ФЗ.,114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-057,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №1510.,ПП №1510,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-058,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №1562.,ПП №1562,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-059,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №468.,ПП №468,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-060,Миграционный учет и уведомления,Клерк,Системное перекрестное сопоставление: Клерк ↔ 270-ФЗ.,270-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-061,КоАП и ответственность,Клерк,Системное перекрестное сопоставление: Клерк ↔ 281-ФЗ.,281-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-062,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 115-ФЗ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-063,"Правовое положение, трудовая деятельность, патенты",Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ НК РФ.,НК РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-064,"Правовое положение, трудовая деятельность, патенты",Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ КоАП РФ.,КоАП РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-065,Миграционный учет и уведомления,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 121-ФЗ.,121-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-066,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ Указ №467.,Указ №467,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-067,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ Брошюра Минэка ВНЖ.,Брошюра Минэка ВНЖ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-068,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 114-ФЗ.,114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-069,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №2573.,ПП №2573,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-070,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1510.,ПП №1510,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-071,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1562.,ПП №1562,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-072,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №468.,ПП №468,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-073,Миграционный учет и уведомления,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 270-ФЗ.,270-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-074,ЕАЭС и «Работа в ЕАЭС»,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ Договор ЕАЭС ст. 96-98.,Договор ЕАЭС ст. 96-98,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-075,"Правовое положение, трудовая деятельность, патенты",115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ НК РФ.,115-ФЗ / НК РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-076,"Правовое положение, трудовая деятельность, патенты",115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ КоАП РФ.,115-ФЗ / КоАП РФ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-077,Режим высылки и реестр контролируемых лиц,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 260-ФЗ.,115-ФЗ / 260-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-078,"Госпошлины, НДФЛ, патенты",115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 271-ФЗ.,115-ФЗ / 271-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-079,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ Брошюра Минэка ВНЖ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-080,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 114-ФЗ.,115-ФЗ / 114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-081,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ ПП №2573.,115-ФЗ / ПП №2573,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-082,"Правовое положение, трудовая деятельность, патенты",115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 270-ФЗ.,115-ФЗ / 270-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-X01,ЕАЭС,Минэк / Работа в ЕАЭС,Сервис «Работа в ЕАЭС» упрощает процедуры трудоустройства для перечисленных стран.,Договор ЕАЭС ст. 96-98 + 115-ФЗ,D26 ст.97; D11 патентные нормы,partial_overlap,0.86,да,Разделить государства-члены ЕАЭС и сервисный охват проекта.
TH-X02,ruID,Клерк / Минэк,ruID и цифровой профиль меняют контур въезда/выезда.,ПП1510 + ПП1562 + ПП468 + Указ 467,D21/D22/D23/D17,match,0.88,да,Не смешивать текущую и перспективную редакции.
TH-X03,ВНЖ инвестора,Брошюра Минэка,Инвестор может готовить документы по 4 категориям критериев.,ПП2573 + ПП1375,D20/D27,partial_overlap,0.87,да,Проверить редакцию ПП2573 после ПП1375.
TH-X04,КоАП,Клерк,Ответственность работодателей за иностранцев подтверждается КоАП.,КоАП 18.15 + 281-ФЗ как change layer,D13/D25,partial_overlap,0.82,да,Проверить точные составы и размеры штрафов.
TH-X05,Социология,ВЦИОМ,Сопротивление общества миграции и риск межнациональной напряженности.,НПА + социологические источники,D03 slide 5; external sociology needed,source_gap,0.72,да,НПА не доказывает социологический claim; нужны сопоставимые опросы.
