review_id,priority,event_id,theme,what_to_check,why,source,owner,deadline,closure_criteria,status
RV-001,P0,E002,Инвестиционный ВНЖ,ПП №1375 найден как поправка к ПП №2573.,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка.",ПП №2573 ↔ ПП №1375,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-002,P2,E003,Инвестиционный ВНЖ,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.,Брошюра Минэка ВНЖ ↔ ПП №1375,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-003,P0,E007,Миграционный учет и уведомления,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,Обновить claims Клерка и Минэка по учету после 270-ФЗ.,109-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-004,P0,E008,"Правовое положение, трудовая деятельность, патенты","270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",Использовать 115-ФЗ в редакции с 270-ФЗ.,115-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-005,P0,E010,ЕАЭС и «Работа в ЕАЭС»,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.","Не писать, что Узбекистан и Таджикистан входят в ЕАЭС.",Минэк страница ↔ Договор ЕАЭС ст. 96-98,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-006,P1,E011,ЕАЭС и «Работа в ЕАЭС»,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.,Договор ЕАЭС ст. 96-98 ↔ 115-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-007,P1,E012,Узбекистан/Таджикистан: не-ЕАЭС режим,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям.",Минэк страница ↔ 115-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-008,P2,E023,Forensic/provenance layer,"Минэк official URL имел timeout, но локальный MHT/PDF snapshot сохранен.",Фиксировать official URL недоступность и local snapshot.,Минэк страница ↔ Минэк страница,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-009,P2,E024,Forensic/provenance layer,Official publication 270-ФЗ имел failed_curl_28; fallback Garant/Kontur доступны.,В источниках указать provenance-risk.,270-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-010,P2,E005,ruID / целевой цифровой въезд / биометрия,ПП468 изменяет ПП1510 с будущей датой вступления.,В матрице разделить текущую и перспективную редакции.,ПП №1510 ↔ ПП №468,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-011,P2,E009,КоАП и ответственность,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.",Проверять claims по ответственности на уровне конкретных статей КоАП.,КоАП РФ ↔ 281-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-012,P2,E013,Сопротивление миграции / межнациональная напряженность,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,Не маркировать ВЦИОМ как НПА; использовать как claim source.,ВЦИОМ ↔ Концепция 2026-2030,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-013,P2,E014,Сопротивление миграции / межнациональная напряженность,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности.",ВЦИОМ ↔ План 4171-р,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-014,P2,E017,"Госпошлины, НДФЛ, патенты",Клерк описывает НДФЛ/патенты/госпошлины.,Разложить каждый налоговый claim по статье НК РФ.,Клерк ↔ НК РФ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-015,P2,E018,КоАП и ответственность,Клерк описывает ответственность работодателей.,Проверить точные суммы/составы по действующей редакции КоАП.,Клерк ↔ КоАП РФ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-016,P2,E025,Forensic/provenance layer,"ПП2573 official URL мог быть недоступен/stub, но mirror/fallback тексты найдены.",Указать legal database mirror как источник консолидации.,ПП №2573 ↔ ПП №1375,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-017,P2,E028,Концепции и планы реализации,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2026-2030.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ВЦИОМ ↔ Концепция 2026-2030,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-018,P2,E032,Концепции и планы реализации,Системное перекрестное сопоставление: ВЦИОМ ↔ План 4171-р.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ВЦИОМ ↔ План 4171-р,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-019,P2,E034,Режим высылки и реестр контролируемых лиц,Системное перекрестное сопоставление: ВЦИОМ ↔ 115-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ВЦИОМ ↔ 115-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-020,P2,E039,Концепции и планы реализации,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 4171-р.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Концепция 2026-2030 ↔ План 4171-р,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-021,P2,E045,Миграционный учет и уведомления,Системное перекрестное сопоставление: 109-ФЗ ↔ Клерк.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,109-ФЗ ↔ Клерк,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-022,P2,E055,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Клерк ↔ Минэк страница.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ Минэк страница,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-023,P2,E056,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: Клерк ↔ 115-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ 115-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-024,P2,E057,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: Клерк ↔ НК РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ НК РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-025,P2,E058,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: Клерк ↔ КоАП РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ КоАП РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-026,P2,E063,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Клерк ↔ 114-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ 114-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-027,P2,E064,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Клерк ↔ ПП №1510.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ ПП №1510,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-028,P2,E065,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Клерк ↔ ПП №1562.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ ПП №1562,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-029,P2,E066,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Клерк ↔ ПП №468.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ ПП №468,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-030,P2,E067,Миграционный учет и уведомления,Системное перекрестное сопоставление: Клерк ↔ 270-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Клерк ↔ 270-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-031,P2,E069,Инвестиционный ВНЖ,Системное перекрестное сопоставление: Минэк страница ↔ 115-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ 115-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-032,P2,E070,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: Минэк страница ↔ НК РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ НК РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-033,P2,E071,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: Минэк страница ↔ КоАП РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ КоАП РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-034,P2,E074,Инвестиционный ВНЖ,Системное перекрестное сопоставление: Минэк страница ↔ Брошюра Минэка ВНЖ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ Брошюра Минэка ВНЖ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-035,P2,E075,Инвестиционный ВНЖ,Системное перекрестное сопоставление: Минэк страница ↔ 114-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ 114-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-036,P2,E077,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1510.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ ПП №1510,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-037,P2,E078,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1562.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ ПП №1562,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-038,P2,E079,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: Минэк страница ↔ ПП №468.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ ПП №468,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-039,P2,E080,Миграционный учет и уведомления,Системное перекрестное сопоставление: Минэк страница ↔ 270-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Минэк страница ↔ 270-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-040,P2,E083,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: 115-ФЗ ↔ НК РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,115-ФЗ ↔ НК РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-041,P2,E084,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: 115-ФЗ ↔ КоАП РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,115-ФЗ ↔ КоАП РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-042,P2,E088,Инвестиционный ВНЖ,Системное перекрестное сопоставление: 115-ФЗ ↔ 114-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,115-ФЗ ↔ 114-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-043,P2,E090,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: 115-ФЗ ↔ 270-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,115-ФЗ ↔ 270-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-044,P2,E093,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: НК РФ ↔ КоАП РФ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,НК РФ ↔ КоАП РФ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-045,P2,E095,"Правовое положение, трудовая деятельность, патенты",Системное перекрестное сопоставление: НК РФ ↔ 270-ФЗ.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,НК РФ ↔ 270-ФЗ,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-046,P2,E111,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1510.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,114-ФЗ ↔ ПП №1510,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-047,P2,E112,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1562.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,114-ФЗ ↔ ПП №1562,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-048,P2,E113,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №468.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,114-ФЗ ↔ ПП №468,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-049,P2,E116,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: ПП №1510 ↔ ПП №1562.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ПП №1510 ↔ ПП №1562,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-050,P2,E117,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: ПП №1510 ↔ ПП №468.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ПП №1510 ↔ ПП №468,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-051,P2,E118,ruID / целевой цифровой въезд / биометрия,Системное перекрестное сопоставление: ПП №1562 ↔ ПП №468.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ПП №1562 ↔ ПП №468,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-052,P2,E121,Инвестиционный ВНЖ,Системное перекрестное сопоставление: 115-ФЗ ↔ ПП №1375.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,115-ФЗ ↔ ПП №1375,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-053,P2,E123,Инвестиционный ВНЖ,Системное перекрестное сопоставление: Брошюра Минэка ВНЖ ↔ ПП №1375.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,Брошюра Минэка ВНЖ ↔ ПП №1375,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-054,P2,E125,Инвестиционный ВНЖ,Системное перекрестное сопоставление: ПП №2573 ↔ ПП №1375.,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,ПП №2573 ↔ ПП №1375,ответственный юрист,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
